#{"t_start": 1646213276.8156483, "env_id": null}
r,l,t
-15,15,22191.951812
-1,15,22222.429874
-4,15,22250.757397
-3,15,22283.001357
7,7,22299.130015
0,14,22322.281788
-3,15,22368.420145
4,10,22390.874982
-15,15,22424.484329
1,13,22444.264079
-4,15,22467.600098
2,12,22501.086825
6,8,22524.266175
8,6,22540.601624
-1,15,22591.437143
4,10,22618.650691
5,9,22648.014368
-11,15,22682.676687
2,12,22709.089799
-6,15,22736.260005
3,11,22757.267844
5,9,22790.992381
-4,15,22820.225209
6,8,22843.057154
5,9,22865.978902
-5,15,22902.210071
2,12,22932.537648
-3,15,22968.645026
1,13,23011.511377
-3,15,23058.626109
0,14,23099.031615
3,11,23133.211231
-9,15,23149.848012
-3,15,23183.924653
2,12,23214.027139
3,11,23243.986071
2,12,23270.534073
-3,15,23310.135171
-7,15,23347.943176
2,12,23371.086873
-5,15,23403.694154
-6,15,23429.303103
-6,15,23449.529395
-6,15,23478.32093
-10,15,23508.705311
-6,15,23538.665489
-8,15,23571.20053
-4,15,23594.787028
4,10,23626.653548
-3,15,23660.044511
-4,15,23685.329778
-3,15,23722.426557
9,5,23741.829544
8,6,23762.207232
-12,15,23798.434727
-4,15,23820.312831
-10,15,23853.736077
6,8,23883.448872
-5,15,23904.075404
-3,15,23931.504648
-7,15,23976.84481
-3,15,24016.370513
2,12,24052.13568
-4,15,24087.69117
6,8,24107.331616
-7,15,24142.230723
-15,15,24183.0507
8,6,24199.126021
