#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
-5.5,15,12140.152182
-2.5,15,12157.168607
0.0,15,12170.565571
-7.0,15,12193.095622
-7.0,15,12209.008034
-4.5,15,12239.491125
8.0,10,12268.730115
5.0,14,12309.866916
1.5,15,12332.543828
12.0,7,12348.746545
0.0,15,12373.960393
-4.0,15,12390.154794
0.0,15,12412.818056
-2.5,15,12422.687891
5.0,14,12445.645822
7.0,12,12464.120189
12.0,6,12479.258099
-2.5,15,12504.670948
-5.5,15,12536.691367
-15,15,12573.558069
8.0,10,12592.006259
-4.5,15,12637.10921
-1.5,15,12665.322453
9.0,9,12684.304775
-4.0,15,12715.875526
10.0,9,12733.831941
14.0,5,12749.46711
-7.0,15,12783.898992
1.5,15,12797.022821
-5.5,15,12826.207367
5.0,14,12845.497163
7.0,11,12873.655267
-2.5,15,12913.567903
-1.5,15,12932.939221
0.0,15,12964.414605
-1.5,15,13001.62195
-8.0,15,13042.924265
8.0,10,13064.463084
0.0,15,13080.570376
-2.5,15,13111.973624
10.0,9,13134.583903
-4.0,15,13172.537473
-4.0,15,13186.427263
-5.5,15,13206.146557
4.0,15,13232.443039
0.0,15,13261.439484
-3.0,15,13296.132078
1.5,15,13334.039323
-3.0,15,13356.600252
-3.0,15,13389.261188
10.0,8,13405.7593
-2.5,15,13431.210122
-5.0,15,13450.135864
3.0,15,13472.96999
0.0,15,13508.259977
-15,15,13540.758311
14.0,5,13557.88124
-1.5,15,13600.564907
7.0,12,13623.035047
11.0,7,13645.681708
4.0,15,13673.938923
-7.0,15,13689.283966
-15,15,13720.844384
6.0,12,13736.597638
6.0,13,13762.188915
1.5,15,13788.128284
10.0,8,13804.317647
0.0,15,13823.516993
1.5,15,13840.374536
-15,15,13872.358195
4.0,15,13913.939155
-5.5,15,13942.975667
-3.0,15,13959.339594
-7.0,15,13988.12338
-4.5,15,14007.170987
-1.0,15,14030.417121
-9.5,15,14043.270035
-6.5,15,14074.626296
7.0,11,14105.95345
7.0,12,14125.840869
4.0,15,14148.568559
13.0,6,14165.220682
14.0,5,14184.639125
11.0,8,14200.963375
-9.5,15,14217.499472
4.0,15,14256.070379
0.5,15,14278.204224
-12.5,15,14302.871199
5.0,14,14319.03108
-1.0,15,14357.19027
-8.5,15,14381.249684
-9.5,15,14394.910429
-1.0,15,14413.724799
-4.5,15,14444.095306
13.0,6,14460.435686
6.0,13,14479.731932
-3.0,15,14501.795974
6.0,13,14527.711924
-1.0,15,14559.630735
-10.0,15,14572.294793
1.5,15,14598.087113
6.0,13,14626.088349
-7.0,15,14638.548619
1.5,15,14651.894831
-5.0,15,14690.012809
-4.5,15,14712.034037
-15,15,14753.4973
-5.0,15,14788.848784
-3.0,15,14816.891956
-4.0,15,14849.160949
-4.0,15,14872.448237
14.0,5,14892.206412
-11.0,15,14911.397678
0.0,15,14933.783942
4.0,14,14950.258648
-4.5,15,14972.486204
-8.5,15,14990.894974
0.0,15,15012.016413
11.0,7,15034.563103
-12.5,15,15062.983062
0.0,15,15098.236695
6.0,12,15126.146954
-5.5,15,15163.744576
0.0,15,15179.341369
4.0,15,15212.128056
